Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2015-12-17 15:55:10.468000,1055069.0,47281.0,16937.0,29473.0,13012.0,33767.0,10839.0,6784.0,57,53,0
2015-12-17 15:55:11.461000,156151.0,20808.0,30357.0,4460.0,6347.0,9574.0,8502.0,7830.0,63,64,0
2015-12-17 15:55:12.480000,720439.0,318404.0,53247.0,66769.0,28936.0,32481.0,14263.0,11303.0,56,66,0
2015-12-17 15:55:13.458000,557422.0,96043.0,31529.0,23335.0,22248.0,22380.0,20288.0,11257.0,66,69,0
2015-12-17 15:55:14.436000,1268616.0,57051.0,25909.0,21627.0,35403.0,23929.0,7246.0,9326.0,60,66,0
2015-12-17 15:55:15.443000,21002.0,51613.0,26570.0,39513.0,7328.0,25354.0,7976.0,5935.0,61,64,0
2015-12-17 15:55:16.444000,13607.0,18942.0,14982.0,7716.0,19535.0,6981.0,6034.0,5226.0,69,69,0
2015-12-17 15:55:17.439000,47814.0,24536.0,44475.0,17370.0,6394.0,8730.0,2604.0,7816.0,67,83,0
2015-12-17 15:55:18.434000,115567.0,53924.0,3151.0,2278.0,21332.0,4424.0,9647.0,2666.0,56,66,0
2015-12-17 15:55:19.430000,614520.0,41822.0,85092.0,27255.0,20850.0,30783.0,14999.0,12038.0,56,69,0
2015-12-17 15:55:20.405000,42552.0,66872.0,13392.0,7859.0,6692.0,16689.0,43572.0,8284.0,57,63,0
2015-12-17 15:55:21.421000,664303.0,219758.0,30052.0,17600.0,2514.0,6047.0,8676.0,6071.0,41,43,0
2015-12-17 15:55:22.408000,242304.0,49880.0,12251.0,1305.0,2910.0,2599.0,1709.0,3038.0,37,54,0
2015-12-17 15:55:23.410000,942809.0,54450.0,44990.0,5325.0,3408.0,14020.0,19727.0,11420.0,30,50,0
2015-12-17 15:55:24.399000,1009337.0,139964.0,10879.0,75821.0,126467.0,60930.0,21586.0,29973.0,35,51,0
2015-12-17 15:55:25.378000,1213397.0,89313.0,15744.0,17154.0,8703.0,8866.0,6007.0,5909.0,48,56,0
2015-12-17 15:55:26.385000,938736.0,162297.0,23992.0,16478.0,44353.0,62205.0,10057.0,9456.0,67,50,0
2015-12-17 15:55:27.380000,324242.0,80033.0,34692.0,15371.0,121780.0,14052.0,27311.0,20338.0,66,40,0
2015-12-17 15:55:28.373000,644630.0,42785.0,3211.0,11932.0,2916.0,5520.0,9461.0,2985.0,54,40,0
2015-12-17 15:55:29.381000,1119185.0,533292.0,46261.0,69573.0,24303.0,18247.0,18907.0,25790.0,44,37,0
2015-12-17 15:55:30.382000,81576.0,212817.0,11596.0,12324.0,3993.0,4019.0,7355.0,4970.0,14,34,0
2015-12-17 15:55:31.365000,266116.0,47090.0,18733.0,7363.0,5960.0,3234.0,3645.0,2525.0,7,40,0
2015-12-17 15:55:32.350000,518049.0,362992.0,35550.0,78932.0,46325.0,29838.0,24722.0,30545.0,3,38,0
2015-12-17 15:55:33.365000,1120828.0,202274.0,45972.0,21175.0,33076.0,29375.0,22172.0,12879.0,16,40,0
2015-12-17 15:55:34.345000,665023.0,92390.0,8147.0,27906.0,43253.0,15762.0,20817.0,24446.0,37,48,0
2015-12-17 15:55:35.356000,952544.0,206503.0,12407.0,41468.0,16861.0,22109.0,10755.0,24000.0,43,41,0
2015-12-17 15:55:36.355000,817156.0,22361.0,3965.0,6717.0,2602.0,7990.0,5937.0,3842.0,54,43,0
2015-12-17 15:55:37.346000,1272903.0,102491.0,38255.0,11780.0,17302.0,16041.0,19209.0,10341.0,54,47,0
2015-12-17 15:55:38.336000,843830.0,95826.0,37729.0,83319.0,45079.0,69834.0,23857.0,21514.0,64,54,0
2015-12-17 15:55:39.331000,728797.0,22740.0,3064.0,2267.0,3333.0,6029.0,3611.0,3036.0,75,51,0
2015-12-17 15:55:40.321000,1221526.0,374386.0,115165.0,30835.0,26318.0,40380.0,31769.0,19086.0,63,53,0
2015-12-17 15:55:41.323000,572057.0,41055.0,11925.0,10489.0,5848.0,9830.0,3600.0,14760.0,66,53,0
2015-12-17 15:55:42.316000,213297.0,27741.0,3582.0,2325.0,978.0,2645.0,698.0,607.0,51,41,0
2015-12-17 15:55:43.301000,210438.0,34055.0,39094.0,8143.0,33478.0,23170.0,20945.0,13557.0,54,53,0
2015-12-17 15:55:44.304000,321548.0,31971.0,5406.0,21321.0,17955.0,10700.0,10793.0,5304.0,64,56,0
2015-12-17 15:55:45.297000,1093731.0,72078.0,17884.0,48780.0,42532.0,24014.0,54683.0,23012.0,64,57,0
2015-12-17 15:55:46.281000,385862.0,229560.0,32466.0,20367.0,17411.0,13938.0,16009.0,8824.0,61,60,0
2015-12-17 15:55:47.296000,570167.0,34233.0,25864.0,15006.0,19510.0,6425.0,3634.0,3018.0,48,61,0
2015-12-17 15:55:48.267000,148854.0,36937.0,5653.0,10119.0,11534.0,20346.0,9504.0,10077.0,54,54,0
2015-12-17 15:55:49.272000,824631.0,95591.0,41825.0,13896.0,8313.0,10449.0,12539.0,14223.0,47,54,0
2015-12-17 15:55:50.279000,727854.0,242161.0,5369.0,67468.0,67978.0,25427.0,9419.0,10244.0,51,56,0
2015-12-17 15:55:51.269000,17101.0,8078.0,8922.0,1982.0,14664.0,11043.0,8118.0,3318.0,70,48,0
2015-12-17 15:55:52.278000,832745.0,234214.0,31405.0,10277.0,41607.0,22511.0,11546.0,39880.0,54,43,0
2015-12-17 15:55:53.258000,106299.0,58807.0,17944.0,3004.0,15550.0,9534.0,13778.0,7256.0,60,37,0
2015-12-17 15:55:54.250000,82955.0,18179.0,4393.0,13522.0,11142.0,9097.0,6996.0,6091.0,70,44,0
2015-12-17 15:55:55.253000,242645.0,130376.0,6955.0,16966.0,24948.0,16243.0,6194.0,3440.0,54,37,0
2015-12-17 15:55:56.249000,153771.0,20495.0,19217.0,25702.0,7644.0,10436.0,10572.0,6739.0,63,56,0
2015-12-17 15:55:57.239000,12623.0,23538.0,6181.0,18710.0,12996.0,15715.0,8263.0,2557.0,74,63,0
2015-12-17 15:55:58.231000,90135.0,56908.0,26736.0,32365.0,11395.0,12030.0,8707.0,13504.0,64,67,0
2015-12-17 15:55:59.249000,1096386.0,594182.0,69565.0,163124.0,101743.0,53571.0,79698.0,51091.0,60,77,0
2015-12-17 15:56:00.232000,205046.0,64990.0,12431.0,3981.0,3514.0,3508.0,4954.0,1650.0,47,63,0
2015-12-17 15:56:01.222000,1608284.0,143418.0,63414.0,25603.0,42486.0,28582.0,20750.0,10723.0,35,60,0
2015-12-17 15:56:02.205000,120552.0,39881.0,19118.0,5813.0,8681.0,4826.0,2323.0,4379.0,34,54,0
2015-12-17 15:56:03.202000,434269.0,78629.0,16058.0,14008.0,7578.0,31450.0,17097.0,5830.0,48,53,0
2015-12-17 15:56:04.224000,236460.0,46366.0,7292.0,4481.0,2133.0,5287.0,4293.0,5085.0,54,51,0
2015-12-17 15:56:05.213000,3184552.0,328694.0,72278.0,30356.0,34119.0,40765.0,24576.0,19048.0,51,47,0
2015-12-17 15:56:06.187000,79176.0,29707.0,3191.0,6808.0,2919.0,6435.0,4826.0,2225.0,60,41,0
2015-12-17 15:56:07.206000,591018.0,75005.0,13137.0,22235.0,13375.0,5993.0,5294.0,5261.0,41,44,0
2015-12-17 15:56:08.200000,180331.0,48042.0,20754.0,5658.0,9673.0,11642.0,9437.0,2661.0,48,50,0
2015-12-17 15:56:09.183000,645768.0,25234.0,3954.0,1820.0,5256.0,8835.0,4859.0,1037.0,57,44,0
2015-12-17 15:56:10.182000,388039.0,57166.0,26764.0,38043.0,9674.0,7240.0,5674.0,7004.0,50,56,0
2015-12-17 15:56:11.174000,205175.0,32816.0,15453.0,2538.0,2105.0,10783.0,12443.0,6119.0,63,56,0
2015-12-17 15:56:12.163000,275821.0,51172.0,17518.0,15700.0,12708.0,18130.0,14318.0,23486.0,66,57,0
2015-12-17 15:56:13.182000,526027.0,384799.0,224652.0,85819.0,36354.0,44019.0,121134.0,42010.0,51,74,0
2015-12-17 15:56:14.155000,225125.0,66374.0,23256.0,18570.0,4273.0,9625.0,15687.0,3274.0,54,67,0
2015-12-17 15:56:15.160000,909951.0,165222.0,17477.0,43361.0,92478.0,21393.0,26687.0,43538.0,47,63,0
2015-12-17 15:56:16.167000,424791.0,99655.0,51936.0,10333.0,10595.0,17239.0,7306.0,9327.0,41,64,0
2015-12-17 15:56:17.154000,1078502.0,58878.0,26541.0,21584.0,10798.0,46529.0,21612.0,46734.0,60,60,0
2015-12-17 15:56:18.139000,652148.0,361753.0,10437.0,30506.0,24551.0,60763.0,135585.0,49237.0,66,41,0
2015-12-17 15:56:19.152000,1592219.0,541403.0,36293.0,89662.0,19669.0,52867.0,79390.0,38973.0,63,41,0
2015-12-17 15:56:20.132000,787837.0,142473.0,10101.0,58335.0,16211.0,61929.0,51360.0,23206.0,74,38,0
2015-12-17 15:56:21.139000,1572543.0,70565.0,52045.0,42549.0,23827.0,34477.0,22071.0,26741.0,66,43,0
2015-12-17 15:56:22.117000,850378.0,124828.0,66681.0,34379.0,32299.0,20770.0,25794.0,10895.0,61,61,0
2015-12-17 15:56:23.123000,1934271.0,414484.0,28717.0,29157.0,58017.0,80199.0,11895.0,26138.0,69,54,0
2015-12-17 15:56:24.117000,1999718.0,186607.0,174023.0,134652.0,401860.0,112349.0,151808.0,50520.0,64,57,0
2015-12-17 15:56:25.099000,660865.0,44278.0,3636.0,8481.0,7804.0,3978.0,4551.0,905.0,54,47,0
2015-12-17 15:56:26.101000,507480.0,531082.0,219628.0,88292.0,142724.0,124763.0,78176.0,83816.0,54,47,51
2015-12-17 15:56:27.119000,464588.0,423986.0,75690.0,130479.0,201792.0,236209.0,114715.0,86693.0,54,47,80
2015-12-17 15:56:28.089000,1431390.0,1845503.0,918126.0,366411.0,394626.0,327576.0,410098.0,186354.0,54,47,80
2015-12-17 15:56:29.099000,575510.0,269672.0,23392.0,8852.0,49333.0,64742.0,57854.0,65972.0,54,47,80
2015-12-17 15:56:30.085000,295758.0,275582.0,95186.0,23113.0,164292.0,235489.0,98125.0,150080.0,54,47,80
